Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Grande Lisboa,50 - 54 anos,H,Memória ou concentração,54594,8613,666,219,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,H,Compreender os outros ou fazer-se compreender,61706,1979,347,138,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,Ver,46008,25222,2166,147,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,Ouvir,67170,5357,513,166,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,Andar ou subir degraus,61483,10162,1681,206,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,Memória ou concentração,58547,13622,1062,226,1A0,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,Compreender os outros ou fazer-se compreender,70988,2186,255,108,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,Ver,38983,17464,1367,151,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,Ouvir,50468,6387,663,157,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,Andar ou subir degraus,48918,7364,1474,242,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,Memória ou concentração,47553,9304,846,184,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,Compreender os outros ou fazer-se compreender,55398,2082,358,119,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,Ver,42595,23930,2348,128,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,Ouvir,61177,6552,769,155,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,Andar ou subir degraus,52942,13242,2633,226,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,Memória ou concentração,52700,14648,1325,233,1A0,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,Compreender os outros ou fazer-se compreender,66163,2385,333,126,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,Ver,34726,15618,1431,172,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,Ouvir,43016,7544,1006,134,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,Andar ou subir degraus,40621,9034,2064,339,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,Memória ou concentração,40923,9934,873,216,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,Compreender os outros ou fazer-se compreender,49485,2040,396,123,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,Ver,39566,22043,2667,140,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,Ouvir,54854,8057,982,161,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,Andar ou subir degraus,44238,16092,3850,308,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,Memória ou concentração,47081,15431,1603,248,1A0,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,Compreender os outros ou fazer-se compreender,61495,2446,352,138,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,Ver,31490,14615,1503,172,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,Ouvir,36770,9320,1332,119,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,Andar ou subir degraus,34808,10350,2336,405,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,Memória ou concentração,35672,10943,949,254,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,Compreender os outros ou fazer-se compreender,45202,2124,412,161,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,Ver,36913,21767,2807,157,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,Ouvir,50152,9681,1352,157,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,Andar ou subir degraus,38262,18335,4735,422,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,Memória ou concentração,42716,16853,1704,294,1A0,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,Compreender os outros ou fazer-se compreender,58480,2623,406,185,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,Ver,29053,14622,1774,214,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,Ouvir,31425,11904,1997,132,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,Andar ou subir degraus,30206,12057,2974,548,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,Memória ou concentração,30753,13197,1375,324,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,Compreender os outros ou fazer-se compreender,42459,2585,479,217,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,Ver,33713,22906,3410,180,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,Ouvir,45188,12488,2102,163,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,Andar ou subir degraus,31431,21574,6650,609,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,Memória ou concentração,37611,19587,2383,517,1A0,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,Compreender os outros ou fazer-se compreender,56194,3284,521,278,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,Ver,40777,32097,6712,590,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,Ouvir,40396,29480,9557,465,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,Andar ou subir degraus,34845,30424,12430,2629,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,Memória ou concentração,40066,31540,6509,1996,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,Compreender os outros ou fazer-se compreender,67315,9576,2474,944,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,Ver,49922,60170,17304,1052,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,Ouvir,64946,44857,17325,829,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,Andar ou subir degraus,32203,53219,35458,7775,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,Memória ou concentração,52605,54040,15583,6042,1A0,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,Compreender os outros ou fazer-se compreender,101497,18562,5552,2838,1A0,,Grande Lisboa
