Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Amadora,55 - 59 anos,H,Compreender os outros ou fazer-se compreender,4217,166,32,10,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,M,Ver,3392,2080,237,10,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,M,Ouvir,5030,562,76,13,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,M,Andar ou subir degraus,4176,1251,273,13,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,M,Memória ou concentração,4315,1255,114,19,1115,Amadora,Grande Lisboa
Amadora,55 - 59 anos,M,Compreender os outros ou fazer-se compreender,5451,228,27,11,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,H,Ver,2830,1357,144,15,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,H,Ouvir,3555,661,102,16,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,H,Andar ou subir degraus,3316,801,213,31,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,H,Memória ou concentração,3368,884,84,18,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,H,Compreender os outros ou fazer-se compreender,4129,191,35,10,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,M,Ver,3273,2082,276,9,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,M,Ouvir,4686,816,90,18,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,M,Andar ou subir degraus,3700,1506,424,24,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,M,Memória ou concentração,4027,1439,156,18,1115,Amadora,Grande Lisboa
Amadora,60 - 64 anos,M,Compreender os outros ou fazer-se compreender,5338,251,36,15,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,H,Ver,2571,1336,144,21,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,H,Ouvir,3079,838,122,13,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,H,Andar ou subir degraus,2866,926,244,40,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,H,Memória ou concentração,2943,1009,92,25,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,H,Compreender os outros ou fazer-se compreender,3795,222,49,13,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,M,Ver,3060,1991,269,20,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,M,Ouvir,4279,892,131,16,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,M,Andar ou subir degraus,3157,1708,465,24,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,M,Memória ou concentração,3644,1504,170,21,1115,Amadora,Grande Lisboa
Amadora,65 - 69 anos,M,Compreender os outros ou fazer-se compreender,5055,237,36,16,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,H,Ver,2431,1340,168,19,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,H,Ouvir,2681,1052,189,15,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,H,Andar ou subir degraus,2559,1087,272,48,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,H,Memória ou concentração,2653,1163,107,33,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,H,Compreender os outros ou fazer-se compreender,3680,237,38,11,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,M,Ver,2866,2177,374,8,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,M,Ouvir,3974,1189,220,11,1115,Amadora,Grande Lisboa
Amadora,70 - 74 anos,M,Andar ou subir degraus,2681,2033,672,50,1115,Amadora,Grande Lisboa
