
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;;;;;Andar ou subir degraus;3419;4753;2906;611;
;;;;;Memória ou concentração;5128;4771;1230;545;
;;;;;Compreender os outros ou fazer-se compreender;9523;1468;452;245;
1111: Sintra;Total;H;2021;Total;Ver;112233;31675;3138;378;
;;;;;Ouvir;129059;14755;2680;400;
;;;;;Andar ou subir degraus;126805;15739;4055;964;
;;;;;Memória ou concentração;122143;21999;2461;739;
;;;;;Compreender os outros ou fazer-se compreender;140282;5699;1043;445;
;;M;2021;Total;Ver;113937;49473;6439;422;
;;;;;Ouvir;147967;17337;3812;452;
;;;;;Andar ou subir degraus;131783;27556;9278;1704;
;;;;;Memória ou concentração;130017;34119;4592;1422;
;;;;;Compreender os outros ou fazer-se compreender;160642;7507;1438;764;
;15 - 19 anos;H;2021;Total;Ver;9892;995;83;9;
;;;;;Ouvir;10817;103;18;10;
;;;;;Andar ou subir degraus;10872;85;15;13;
;;;;;Memória ou concentração;10159;686;86;28;
;;;;;Compreender os outros ou fazer-se compreender;10637;260;45;25;
;;M;2021;Total;Ver;9071;1602;115;7;
;;;;;Ouvir;10583;153;14;7;
;;;;;Andar ou subir degraus;10590;164;27;16;
;;;;;Memória ou concentração;9857;824;75;23;
;;;;;Compreender os outros ou fazer-se compreender;10508;217;34;18;
;20 - 24 anos;H;2021;Total;Ver;10563;1093;74;8;
;;;;;Ouvir;11532;149;9;18;
;;;;;Andar ou subir degraus;11592;117;20;12;
;;;;;Memória ou concentração;10956;673;73;26;
;;;;;Compreender os outros ou fazer-se compreender;11430;235;47;19;
;;M;2021;Total;Ver;9722;1850;145;6;
;;;;;Ouvir;11409;236;21;10;
;;;;;Andar ou subir degraus;11397;258;30;21;
;;;;;Memória ou concentração;10532;1055;82;27;
;;;;;Compreender os outros ou fazer-se compreender;11427;228;35;21;
;25 - 29 anos;H;2021;Total;Ver;10162;1114;85;15;
;;;;;Ouvir;11093;216;17;18;
;;;;;Andar ou subir degraus;11138;187;23;23;
;;;;;Memória ou concentração;10414;854;66;24;
;;;;;Compreender os outros ou fazer-se compreender;11021;281;39;19;
;;M;2021;Total;Ver;9732;1979;117;7;
;;;;;Ouvir;11458;300;22;12;
;;;;;Andar ou subir degraus;11507;279;34;18;
;;;;;Memória ou concentração;10429;1293;74;24;
;;;;;Compreender os outros ou fazer-se compreender;11548;253;23;16;
;30 - 34 anos;H;2021;Total;Ver;9962;1062;64;21;
;;;;;Ouvir;10746;276;20;27;
;;;;;Andar ou subir degraus;10835;215;31;37;
;;;;;Memória ou concentração;10086;920;65;34;
;;;;;Compreender os outros ou fazer-se compreender;10713;316;49;24;
;;M;2021;Total;Ver;9851;1987;133;20;
;;;;;Ouvir;11575;333;26;26;
;;;;;Andar ou subir degraus;11521;410;44;19;
;;;;;Memória ou concentração;10343;1543;79;30;
;;;;;Compreender os outros ou fazer-se compreender;11632;306;39;15;
;35 - 39 anos;H;2021;Total;Ver;10254;1199;85;14;
;;;;;Ouvir;11110;349;27;27;
;;;;;Andar ou subir degraus;11110;365;52;31;
;;;;;Memória ou concentração;10442;1011;76;32;
;;;;;Compreender os outros ou fazer-se compreender;11184;317;40;25;
;;M;2021;Total;Ver;10426;2172;132;24;
;;;;;Ouvir;12179;457;31;29;
;;;;;Andar ou subir degraus;12042;623;67;24;
;;;;;Memória ou concentração;10915;1702;101;26;
;;;;;Compreender os outros ou fazer-se compreender;12393;328;26;19;
;40 - 44 anos;H;2021;Total;Ver;11270;1795;107;30;
;;;;;Ouvir;12565;521;61;26;
;;;;;Andar ou subir degraus;12496;601;91;39;
;;;;;Memória ou concentração;11736;1322;104;49;
;;;;;Compreender os outros ou fazer-se compreender;12804;316;50;35;
;;M;2021;Total;Ver;11670;3208;207;30;
;;;;;Ouvir;14345;637;61;32;
;;;;;Andar ou subir degraus;13809;1108;165;40;
;;;;;Memória ou concentração;12649;2255;165;53;
;;;;;Compreender os outros ou fazer-se compreender;14667;381;46;40;
;45 - 49 anos;H;2021;Total;Ver;10660;3433;184;28;
;;;;;Ouvir;13196;927;84;43;
;;;;;Andar ou subir degraus;13163;954;152;40;
;;;;;Memória ou concentração;12525;1634;112;34;
;;;;;Compreender os outros ou fazer-se compreender;13849;393;43;19;
;;M;2021;Total;Ver;10896;5063;402;23;
;;;;;Ouvir;15310;889;86;34;
;;;;;Andar ou subir degraus;14405;1713;232;39;
;;;;;Memória ou concentração;13467;2667;181;64;
;;;;;Compreender os outros ou fazer-se compreender;15847;483;38;28;
;50 - 54 anos;H;2021;Total;Ver;9043;4040;249;27;
;;;;;Ouvir;12050;1106;107;34;
;;;;;Andar ou subir degraus;11865;1246;207;44;
;;;;;Memória ou concentração;11376;1793;133;41;
;;;;;Compreender os outros ou fazer-se compreender;12844;419;67;25;
;;M;2021;Total;Ver;9516;5732;460;29;
;;;;;Ouvir;14294;1230;101;39;
;;;;;Andar ou subir degraus;12906;2430;360;38;
;;;;;Memória ou concentração;12475;2978;227;43;
;;;;;Compreender os outros ou fazer-se compreender;15191;481;42;25;
;55 - 59 anos;H;2021;Total;Ver;7848;3790;279;36;
;;;;;Ouvir;10398;1332;131;36;
;;;;;Andar ou subir degraus;9992;1604;306;52;
;;;;;Memória ou concentração;9642;2059;179;44;
;;;;;Compreender os outros ou fazer-se compreender;11446;411;72;23;
;;M;2021;Total;Ver;8208;4983;509;26;
;;;;;Ouvir;12110;1379;142;32;
;;;;;Andar ou subir degraus;10307;2839;527;51;
;;;;;Memória ou concentração;10416;2974;266;59;
;;;;;Compreender os outros ou fazer-se compreender;13096;521;83;30;
;60 - 64 anos;H;2021;Total;Ver;6507;3083;268;30;
;;;;;Ouvir;8152;1479;178;34;
;;;;;Andar ou subir degraus;7621;1845;392;55;
;;;;;Memória ou concentração;7765;1942;157;35;
;;;;;Compreender os outros ou fazer-se compreender;9456;380;65;21;
;;M;2021;Total;Ver;7105;4163;479;28;
;;;;;Ouvir;9995;1488;173;39;
;;;;;Andar ou subir degraus;7931;3092;723;49;
;;;;;Memória ou concentração;8520;2904;312;47;
;;;;;Compreender os outros ou fazer-se compreender;11261;450;74;26;
;65 - 69 anos;H;2021;Total;Ver;5394;2653;278;36;
;;;;;Ouvir;6363;1706;223;17;
;;;;;Andar ou subir degraus;6022;1867;415;75;
;;;;;Memória ou concentração;6165;1983;164;44;
;;;;;Compreender os outros ou fazer-se compreender;7901;380;70;34;
;;M;2021;Total;Ver;6000;3970;517;28;
;;;;;Ouvir;8415;1724;273;27;
;;;;;Andar ou subir degraus;6249;3360;839;80;
;;;;;Memória ou concentração;7138;2997;322;40;
;;;;;Compreender os outros ou fazer-se compreender;9950;480;70;23;
;70 - 74 anos;H;2021;Total;Ver;4627;2463;327;34;
;;;;;Ouvir;5020;2022;367;19;
;;;;;Andar ou subir degraus;4871;2032;482;91;
;;;;;Memória ou concentração;4882;2252;250;65;
;;;;;Compreender os outros ou fazer-se compreender;6899;442;93;35;
;;M;2021;Total;Ver;5017;3946;605;37;
;;;;;Ouvir;7072;2086;382;30;
;;;;;Andar ou subir degraus;4733;3625;1131;124;
;;;;;Memória ou concentração;5842;3244;421;97;
;;;;;Compreender os outros ou fazer-se compreender;8890;574;95;60;
;75 ou mais anos;H;2021;Total;Ver;6051;4955;1055;90;
;;;;;Ouvir;6017;4569;1438;91;
;;;;;Andar ou subir degraus;5228;4621;1869;452;
;;;;;Memória ou concentração;5995;4870;996;283;
;;;;;Compreender os outros ou fazer-se compreender;10098;1549;363;141;
;;M;2021;Total;Ver;6723;8818;2618;157;
;;;;;Ouvir;9222;6425;2480;135;
;;;;;Andar ou subir degraus;4386;7655;5099;1185;
;;;;;Memória ou concentração;7434;7683;2287;889;
;;;;;Compreender os outros ou fazer-se compreender;14232;2805;833;443;
1114: Vila Franca de Xira;Total;H;2021;Total;Ver;39878;12075;1145;123;
;;;;;Ouvir;45888;5895;1147;124;
;;;;;Andar ou subir degraus;45364;6006;1626;309;
;;;;;Memória ou concentração;43575;8465;965;261;
;;;;;Compreender os outros ou fazer-se compreender;50709;2042;398;175;
;;M;2021;Total;Ver;39853;17947;2201;116;
;;;;;Ouvir;51973;6359;1410;147;
;;;;;Andar ou subir degraus;46171;9994;3353;628;
;;;;;Memória ou concentração;45438;12486;1673;495;
;;;;;Compreender os outros ou fazer-se compreender;56906;2424;526;272;
;15 - 19 anos;H;2021;Total;Ver;3425;364;17;2;
;;;;;Ouvir;3753;35;7;3;
;;;;;Andar ou subir degraus;3768;29;6;6;
;;;;;Memória ou concentração;3526;243;37;6;
;;;;;Compreender os outros ou fazer-se compreender;3694;86;20;11;
;;M;2021;Total;Ver;3137;550;47;3;
;;;;;Ouvir;3684;42;4;4;
;;;;;Andar ou subir degraus;3669;61;7;7;
;;;;;Memória ou concentração;3407;289;30;10;
;;;;;Compreender os outros ou fazer-se compreender;3650;74;7;8;
;20 - 24 anos;H;2021;Total;Ver;3203;373;21;2;
;;;;;Ouvir;3537;39;9;3;
;;;;;Andar ou subir degraus;3546;37;8;8;
;;;;;Memória ou concentração;3344;221;26;11;
;;;;;Compreender os outros ou fazer-se compreender;3492;83;15;10;
;;M;2021;Total;Ver;3019;587;38;1;
;;;;;Ouvir;3538;84;7;3;
;;;;;Andar ou subir degraus;3558;85;4;4;
;;;;;Memória ou concentração;3273;356;24;2;
;;;;;Compreender os outros ou fazer-se compreender;3575;67;6;5;
;25 - 29 anos;H;2021;Total;Ver;3210;386;24;2;
;;;;;Ouvir;3529;76;5;4;
;;;;;Andar ou subir degraus;3551;53;7;6;
;;;;;Memória ou concentração;3295;295;23;7;
;;;;;Compreender os outros ou fazer-se compreender;3527;79;11;6;
;;M;2021;Total;Ver;3034;595;34;2;
;;;;;Ouvir;3572;76;7;2;
;;;;;Andar ou subir degraus;3566;86;9;5;
;;;;;Memória ou concentração;3202;435;22;3;
;;;;;Compreender os outros ou fazer-se compreender;3591;54;9;5;
;30 - 34 anos;H;2021;Total;Ver;3422;379;23;8;
;;;;;Ouvir;3718;91;11;7;
;;;;;Andar ou subir degraus;3720;94;14;7;
;;;;;Memória ou concentração;3425;388;16;9;
;;;;;Compreender os outros ou fazer-se compreender;3714;106;14;5;
;;M;2021;Total;Ver;3350;743;37;3;
;;;;;Ouvir;3975;120;14;4;
;;;;;Andar ou subir degraus;3976;135;10;10;
;;;;;Memória ou concentração;3545;542;29;8;
;;;;;Compreender os outros ou fazer-se compreender;4013;91;13;5;
;35 - 39 anos;H;2021;Total;Ver;4013;499;38;10;
;;;;;Ouvir;4371;159;11;6;
;;;;;Andar ou subir degraus;4395;142;23;7;
;;;;;Memória ou concentração;4059;467;25;13;
;;;;;Compreender os outros ou fazer-se compreender;4420;116;19;7;
;;M;2021;Total;Ver;3990;859;55;12;
;;;;;Ouvir;4703;176;7;10;
;;;;;Andar ou subir degraus;4627;256;23;12;
;;;;;Memória ou concentração;4181;688;37;15;
;;;;;Compreender os outros ou fazer-se compreender;4801;99;13;9;
;40 - 44 anos;H;2021;Total;Ver;4684;751;41;6;
;;;;;Ouvir;5216;231;16;13;
;;;;;Andar ou subir degraus;5197;243;43;9;
;;;;;Memória ou concentração;4844;603;29;13;
;;;;;Compreender os outros ou fazer-se compreender;5341;120;26;9;
;;M;2021;Total;Ver;4592;1347;77;5;
;;;;;Ouvir;5697;271;23;9;
;;;;;Andar ou subir degraus;5521;448;47;12;
;;;;;Memória ou concentração;5019;937;61;9;
;;;;;Compreender os outros ou fazer-se compreender;5855;135;18;7;
;45 - 49 anos;H;2021;Total;Ver;3924;1401;86;12;
;;;;;Ouvir;4986;371;37;11;
;;;;;Andar ou subir degraus;4967;380;70;20;
;;;;;Memória ou concentração;4668;694;61;12;
;;;;;Compreender os outros ou fazer-se compreender;5262;137;23;9;
;;M;2021;Total;Ver;3924;1948;134;7;
;;;;;Ouvir;5541;396;34;12;
;;;;;Andar ou subir degraus;5298;600;94;17;
;;;;;Memória ou concentração;4910;1010;70;15;
;;;;;Compreender os outros ou fazer-se compreender;5849;136;21;12;
;50 - 54 anos;H;2021;Total;Ver;2981;1387;82;11;
;;;;;Ouvir;3983;416;31;13;
;;;;;Andar ou subir degraus;3975;408;73;14;
;;;;;Memória ou concentração;3759;655;43;11;
;;;;;Compreender os outros ou fazer-se compreender;4311;148;13;3;
;;M;2021;Total;Ver;2935;1826;153;9;
;;;;;Ouvir;4435;414;32;15;
;;;;;Andar ou subir degraus;4017;777;114;13;
;;;;;Memória ou concentração;3849;966;68;21;
;;;;;Compreender os outros ou fazer-se compreender;4778;132;7;8;
;55 - 59 anos;H;2021;Total;Ver;2606;1239;83;6;
;;;;;Ouvir;3358;505;45;8;
;;;;;Andar ou subir degraus;3246;585;97;12;
;;;;;Memória ou concentração;3189;681;54;9;
;;;;;Compreender os outros ou fazer-se compreender;3770;140;18;9;
;;M;2021;Total;Ver;2846;1695;150;6;
;;;;;Ouvir;4139;469;61;7;
;;;;;Andar ou subir degraus;3527;990;173;8;
;;;;;Memória ou concentração;3540;1035;105;15;
;;;;;Compreender os outros ou fazer-se compreender;4525;156;14;3;
;60 - 64 anos;H;2021;Total;Ver;2383;1213;90;8;
;;;;;Ouvir;2912;652;101;8;
;;;;;Andar ou subir degraus;2848;696;143;16;
;;;;;Memória ou concentração;2866;736;70;18;
;;;;;Compreender os outros ou fazer-se compreender;3532;148;22;7;
;;M;2021;Total;Ver;2610;1663;186;6;
;;;;;Ouvir;3773;575;75;17;
;;;;;Andar ou subir degraus;2890;1263;294;17;
;;;;;Memória ou concentração;3211;1119;108;21;
;;;;;Compreender os outros ou fazer-se compreender;4253;182;16;13;
;65 - 69 anos;H;2021;Total;Ver;2119;1151;110;10;
;;;;;Ouvir;2505;745;114;10;
;;;;;Andar ou subir degraus;2428;781;164;29;
;;;;;Memória ou concentração;2459;851;71;21;
;;;;;Compreender os outros ou fazer-se compreender;3231;141;24;14;
;;M;2021;Total;Ver;2341;1556;200;12;
;;;;;Ouvir;3298;687;100;10;
;;;;;Andar ou subir degraus;2439;1335;321;24;
;;;;;Memória ou concentração;2762;1194;123;25;
;;;;;Compreender os outros ou fazer-se compreender;3893;178;27;19;
;70 - 74 anos;H;2021;Total;Ver;1777;1081;136;15;
;;;;;Ouvir;1956;889;145;10;
;;;;;Andar ou subir degraus;1942;834;215;28;
;;;;;Memória ou concentração;1966;932;94;20;
;;;;;Compreender os outros ou fazer-se compreender;2780;183;27;22;
;;M;2021;Total;Ver;1760;1457;195;7;
;;;;;Ouvir;2463;795;141;9;
;;;;;Andar ou subir degraus;1591;1366;426;35;
;;;;;Memória ou concentração;2027;1204;159;26;
;;;;;Compreender os outros ou fazer-se compreender;3169;204;31;15;
;75 ou mais anos;H;2021;Total;Ver;2131;1851;394;31;
;;;;;Ouvir;2064;1686;615;28;
;;;;;Andar ou subir degraus;1781;1724;763;147;
;;;;;Memória ou concentração;2175;1699;416;111;
;;;;;Compreender os outros ou fazer-se compreender;3635;555;166;63;
;;M;2021;Total;Ver;2315;3121;895;43;
;;;;;Ouvir;3155;2254;905;45;
;;;;;Andar ou subir degraus;1492;2592;1831;464;
;;;;;Memória ou concentração;2512;2711;837;325;
;;;;;Compreender os outros ou fazer-se compreender;4954;916;344;163;

Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal - INE, Recenseamento da população e habitação - Censos 2021


Última atualização destes dados: 10 de abril de 2024


Metainformação associada ao quadro

Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades
Designação;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento da população e habitação - Censos 2021
Primeiro período disponível;2021
Último período disponível;2021
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência à data dos Censos [2021] (NUTS - 2024 - Município)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Nível de escolaridade mais elevado completo
     Dimensão 6;Tipo de dificuldade
     Dimensão 7;Grau de dificuldade
Conceitos
     NÍVEL DE ESCOLARIDADE COMPLETO;Nível de escolaridade mais elevado que foi concluído com êxito, ou para o qual se obteve equivalência, e que confere um certificado ou um diploma.
     LOCAL DE RESIDÊNCIA HABITUAL;Local onde a pessoa passa habitualmente o seu período de descanso quotidiano (independentemente de ausências temporárias por motivos de lazer, férias, visita a amigos e familiares, atividade profissional, tratamento médico ou outras), e onde vive ou tem a intenção de viver a maior parte do ano, tendo por referência os últimos 12 meses.
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;10-Apr-2024
