
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
;;;;;Compreender os outros ou fazer-se compreender;4825;109;22;9;
;;M;2021;Total;Ver;3992;651;53;6;
;;;;;Ouvir;4584;89;9;4;
;;;;;Andar ou subir degraus;4576;106;14;9;
;;;;;Memória ou concentração;4213;450;28;12;
;;;;;Compreender os outros ou fazer-se compreender;4586;95;11;9;
;30 - 34 anos;H;2021;Total;Ver;4287;419;22;4;
;;;;;Ouvir;4610;95;11;8;
;;;;;Andar ou subir degraus;4599;108;14;8;
;;;;;Memória ou concentração;4323;358;36;13;
;;;;;Compreender os outros ou fazer-se compreender;4550;149;25;6;
;;M;2021;Total;Ver;4408;693;52;4;
;;;;;Ouvir;5001;116;8;7;
;;;;;Andar ou subir degraus;5010;135;11;7;
;;;;;Memória ou concentração;4540;581;26;7;
;;;;;Compreender os outros ou fazer-se compreender;4995;138;17;6;
;35 - 39 anos;H;2021;Total;Ver;4997;542;21;9;
;;;;;Ouvir;5390;148;7;11;
;;;;;Andar ou subir degraus;5384;156;16;12;
;;;;;Memória ou concentração;5028;473;51;11;
;;;;;Compreender os outros ou fazer-se compreender;5374;164;20;6;
;;M;2021;Total;Ver;5442;923;52;12;
;;;;;Ouvir;6227;167;12;13;
;;;;;Andar ou subir degraus;6200;205;27;14;
;;;;;Memória ou concentração;5600;788;41;13;
;;;;;Compreender os outros ou fazer-se compreender;6294;127;15;11;
;40 - 44 anos;H;2021;Total;Ver;6201;881;36;8;
;;;;;Ouvir;6823;258;15;16;
;;;;;Andar ou subir degraus;6863;229;41;14;
;;;;;Memória ou concentração;6419;657;38;19;
;;;;;Compreender os outros ou fazer-se compreender;6954;151;23;10;
;;M;2021;Total;Ver;6900;1617;80;18;
;;;;;Ouvir;8269;292;20;18;
;;;;;Andar ou subir degraus;8153;401;50;14;
;;;;;Memória ou concentração;7434;1102;55;20;
;;;;;Compreender os outros ou fazer-se compreender;8389;188;21;16;
;45 - 49 anos;H;2021;Total;Ver;6127;1695;76;13;
;;;;;Ouvir;7431;402;36;16;
;;;;;Andar ou subir degraus;7484;365;54;27;
;;;;;Memória ou concentração;7050;790;56;19;
;;;;;Compreender os outros ou fazer-se compreender;7680;203;27;9;
;;M;2021;Total;Ver;6596;2545;143;18;
;;;;;Ouvir;8803;407;33;23;
;;;;;Andar ou subir degraus;8552;639;89;23;
;;;;;Memória ou concentração;7871;1317;90;19;
;;;;;Compreender os outros ou fazer-se compreender;9088;191;22;8;
;50 - 54 anos;H;2021;Total;Ver;5013;1843;101;17;
;;;;;Ouvir;6376;511;44;26;
;;;;;Andar ou subir degraus;6321;533;88;35;
;;;;;Memória ou concentração;6027;855;67;27;
;;;;;Compreender os outros ou fazer-se compreender;6731;193;35;11;
;;M;2021;Total;Ver;5379;2511;210;11;
;;;;;Ouvir;7516;509;38;12;
;;;;;Andar ou subir degraus;7084;902;112;14;
;;;;;Memória ou concentração;6642;1361;83;13;
;;;;;Compreender os outros ou fazer-se compreender;7870;204;26;8;
;55 - 59 anos;H;2021;Total;Ver;4527;1708;113;15;
;;;;;Ouvir;5667;604;45;17;
;;;;;Andar ou subir degraus;5554;679;121;22;
;;;;;Memória ou concentração;5345;919;76;20;
;;;;;Compreender os outros ou fazer-se compreender;6120;196;37;10;
;;M;2021;Total;Ver;5208;2369;200;9;
;;;;;Ouvir;7054;605;73;16;
;;;;;Andar ou subir degraus;6428;1162;179;22;
;;;;;Memória ou concentração;6148;1489;123;15;
;;;;;Compreender os outros ou fazer-se compreender;7503;247;27;11;
;60 - 64 anos;H;2021;Total;Ver;4010;1504;114;15;
;;;;;Ouvir;4795;736;80;11;
;;;;;Andar ou subir degraus;4625;810;179;40;
;;;;;Memória ou concentração;4551;988;85;18;
;;;;;Compreender os outros ou fazer-se compreender;5398;210;34;9;
;;M;2021;Total;Ver;4711;2083;226;13;
;;;;;Ouvir;6146;761;74;15;
;;;;;Andar ou subir degraus;5231;1499;290;34;
;;;;;Memória ou concentração;5404;1468;143;20;
;;;;;Compreender os outros ou fazer-se compreender;6772;238;30;12;
;65 - 69 anos;H;2021;Total;Ver;3703;1376;127;16;
;;;;;Ouvir;4136;932;115;11;
;;;;;Andar ou subir degraus;3999;1003;204;36;
;;;;;Memória ou concentração;4086;1036;93;23;
;;;;;Compreender os outros ou fazer-se compreender;4979;210;33;16;
;;M;2021;Total;Ver;4490;2147;232;16;
;;;;;Ouvir;5766;949;120;20;
;;;;;Andar ou subir degraus;4705;1777;372;45;
;;;;;Memória ou concentração;4985;1701;143;44;
;;;;;Compreender os outros ou fazer-se compreender;6549;271;42;24;
;70 - 74 anos;H;2021;Total;Ver;3485;1426;142;29;
;;;;;Ouvir;3657;1195;189;19;
;;;;;Andar ou subir degraus;3640;1159;241;54;
;;;;;Memória ou concentração;3555;1356;130;39;
;;;;;Compreender os outros ou fazer-se compreender;4754;254;53;28;
;;M;2021;Total;Ver;4069;2293;286;15;
;;;;;Ouvir;5146;1284;195;11;
;;;;;Andar ou subir degraus;3885;2116;616;54;
;;;;;Memória ou concentração;4392;2016;201;48;
;;;;;Compreender os outros ou fazer-se compreender;6277;334;40;28;
;75 ou mais anos;H;2021;Total;Ver;4722;3293;653;60;
;;;;;Ouvir;4571;3086;995;49;
;;;;;Andar ou subir degraus;4087;3186;1187;278;
;;;;;Memória ou concentração;4536;3288;624;263;
;;;;;Compreender os outros ou fazer-se compreender;7391;980;263;125;
;;M;2021;Total;Ver;5906;5965;1607;98;
;;;;;Ouvir;7157;4590;1678;84;
;;;;;Andar ou subir degraus;3910;5588;3308;812;
;;;;;Memória ou concentração;5741;5534;1564;731;
;;;;;Compreender os outros ou fazer-se compreender;10833;1866;598;321;
1106: Lisboa;Total;H;2021;Total;Ver;161785;42548;4786;697;
;;;;;Ouvir;182874;21422;4280;539;
;;;;;Andar ou subir degraus;179011;22575;6764;1522;
;;;;;Memória ou concentração;172942;31560;3915;1165;
;;;;;Compreender os outros ou fazer-se compreender;198712;8483;1778;707;
;;M;2021;Total;Ver;168504;68313;10507;795;
;;;;;Ouvir;210059;29032;7562;686;
;;;;;Andar ou subir degraus;185856;41346;17738;3390;
;;;;;Memória ou concentração;185099;52105;8124;2561;
;;;;;Compreender os outros ou fazer-se compreender;232388;11808;2659;1286;
;15 - 19 anos;H;2021;Total;Ver;11402;942;55;9;
;;;;;Ouvir;12246;114;21;6;
;;;;;Andar ou subir degraus;12302;80;16;13;
;;;;;Memória ou concentração;11570;679;116;29;
;;;;;Compreender os outros ou fazer-se compreender;12071;251;46;30;
;;M;2021;Total;Ver;10630;1388;120;9;
;;;;;Ouvir;11932;154;18;8;
;;;;;Andar ou subir degraus;11937;148;27;22;
;;;;;Memória ou concentração;11227;806;74;23;
;;;;;Compreender os outros ou fazer-se compreender;11901;172;44;8;
;20 - 24 anos;H;2021;Total;Ver;13051;1237;104;21;
;;;;;Ouvir;14129;209;19;23;
;;;;;Andar ou subir degraus;14214;150;20;31;
;;;;;Memória ou concentração;13294;940;117;36;
;;;;;Compreender os outros ou fazer-se compreender;13954;328;72;36;
;;M;2021;Total;Ver;12151;1944;129;22;
;;;;;Ouvir;13937;231;26;20;
;;;;;Andar ou subir degraus;13957;233;29;32;
;;;;;Memória ou concentração;12877;1217;120;28;
;;;;;Compreender os outros ou fazer-se compreender;13890;276;47;22;
;25 - 29 anos;H;2021;Total;Ver;16106;1739;135;42;
;;;;;Ouvir;17505;381;31;51;
;;;;;Andar ou subir degraus;17670;246;42;52;
;;;;;Memória ou concentração;16289;1536;121;47;
;;;;;Compreender os outros ou fazer-se compreender;17360;516;80;33;
;;M;2021;Total;Ver;15221;2778;147;22;
;;;;;Ouvir;17670;391;25;31;
;;;;;Andar ou subir degraus;17703;368;45;37;
;;;;;Memória ou concentração;15997;1961;150;46;
;;;;;Compreender os outros ou fazer-se compreender;17656;421;53;25;
