
Quadro extraído em 23 de Fevereiro de 2025 (13:27:18)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;75 - 79 anos;H;2021;3311;3110;201;10;0;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;169;0;35;78;12;35;7;8;0;0;0;7;0;12;0;1;9;0;0;2;
;;M;2021;4670;4352;318;24;1;0;3;0;12;5;0;1;0;0;0;0;1;0;0;1;265;1;103;82;14;54;10;14;0;0;1;11;2;15;0;0;10;0;0;0;
;80 - 84 anos;H;2021;2265;2121;144;4;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;122;0;31;48;3;35;3;4;0;2;1;1;0;14;0;1;8;0;1;0;
;;M;2021;3438;3224;214;20;0;0;1;0;12;3;0;0;0;1;0;0;0;0;0;1;169;1;49;70;3;34;10;8;0;0;0;8;0;16;0;0;13;0;0;1;
;85 e mais anos;H;2021;1704;1603;101;10;0;0;0;0;4;4;0;1;0;0;0;0;0;0;0;0;77;0;22;40;1;11;2;3;0;0;0;3;0;11;0;0;9;0;0;0;
;;M;2021;3264;3039;225;19;1;0;0;0;8;5;0;2;0;0;0;0;0;0;0;1;177;1;68;61;6;32;7;12;0;1;0;8;2;17;0;1;11;0;0;0;
111513: Águas Livres;Total;H;2021;17253;13124;4129;389;27;1;7;8;25;72;2;7;1;10;2;36;2;12;11;79;2564;14;476;1229;354;128;194;840;7;11;3;772;37;336;102;44;74;51;36;0;
;;M;2021;20354;15398;4956;430;33;3;9;6;30;84;0;14;8;4;2;33;2;22;10;87;3214;12;573;1820;262;170;279;1116;5;11;6;1041;41;195;35;45;35;42;6;1;
;0 - 4 anos;H;2021;899;852;47;19;2;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0;10;0;4;3;2;0;0;13;0;1;0;12;0;5;2;0;1;0;0;0;
;;M;2021;915;869;46;8;1;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;13;0;5;4;3;0;1;25;0;2;0;22;1;0;0;0;0;0;0;0;
