
Quadro extraído em 25 de Fevereiro de 2025 (00:27:20)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;60 - 64 anos;H;2021;85;76;9;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;5;0;3;1;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;
;;M;2021;84;74;10;4;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5;0;3;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
;65 - 69 anos;H;2021;59;49;10;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;0;2;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
;;M;2021;55;46;9;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;7;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;70 - 74 anos;H;2021;58;55;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;M;2021;70;66;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;
;75 - 79 anos;H;2021;56;53;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
;;M;2021;60;55;5;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;80 - 84 anos;H;2021;31;30;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;M;2021;33;32;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
