
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;15 - 19 anos;H;2021;1279;9;810;2;63;745;459;1;0;0;0;0;0;0;
;;M;2021;1231;7;723;0;52;671;500;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;1222;9;103;0;8;95;722;29;359;14;0;293;52;0;
;;M;2021;1182;15;56;4;4;48;602;19;490;7;0;389;94;0;
;25 - 29 anos;H;2021;1094;13;105;3;16;86;357;38;581;8;0;321;249;3;
;;M;2021;1073;16;75;3;16;56;256;21;705;4;0;364;332;5;
;30 - 34 anos;H;2021;1009;18;123;7;18;98;297;45;526;7;9;277;218;15;
;;M;2021;1150;31;89;6;11;72;245;25;760;3;8;401;325;23;
;35 - 39 anos;H;2021;1221;17;149;8;13;128;367;55;633;14;54;357;188;20;
;;M;2021;1372;26;115;7;9;99;279;26;926;3;58;556;274;35;
;40 - 44 anos;H;2021;1520;26;181;12;27;142;444;49;820;4;70;572;146;28;
;;M;2021;1879;32;137;15;24;98;419;44;1247;0;67;875;254;51;
;45 - 49 anos;H;2021;1822;31;279;27;61;191;519;53;940;0;92;646;157;45;
;;M;2021;2158;45;190;30;49;111;505;41;1377;0;118;994;218;47;
;50 - 54 anos;H;2021;1560;24;307;39;79;189;456;49;724;0;83;450;148;43;
;;M;2021;1863;36;282;41;89;152;521;40;984;0;106;682;158;38;
;55 - 59 anos;H;2021;1428;18;324;50;94;180;422;7;657;0;100;388;124;45;
;;M;2021;1773;43;321;67;74;180;529;11;869;0;117;565;136;51;
;60 - 64 anos;H;2021;1306;33;314;94;74;146;404;0;555;0;76;359;76;44;
;;M;2021;1646;41;403;107;95;201;492;0;710;0;103;486;81;40;
;65 - 69 anos;H;2021;1112;35;321;124;64;133;310;0;446;0;64;279;73;30;
;;M;2021;1638;63;608;251;83;274;421;0;546;0;110;349;55;32;
;70 - 74 anos;H;2021;1160;37;594;220;68;306;190;0;339;0;67;222;28;22;
;;M;2021;1669;69;908;383;118;407;263;0;429;0;109;267;34;19;
;75 ou mais anos;H;2021;2253;87;1239;617;141;481;328;0;599;0;119;394;48;38;
;;M;2021;3716;305;2365;1428;237;700;452;0;594;0;159;394;27;14;
110508: União das freguesias de Cascais e Estoril;Total;H;2021;29616;3637;9267;2868;2152;4247;6988;352;9372;58;1009;5670;2163;472;
;;M;2021;34576;4141;10807;3994;2203;4610;7738;278;11612;24;1504;7323;2370;391;
;Menos de 15 anos;H;2021;4561;2641;1920;767;978;175;0;0;0;0;0;0;0;0;
;;M;2021;4167;2380;1787;713;912;162;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;1764;17;1101;6;112;983;641;3;2;2;0;0;0;0;
;;M;2021;1665;9;1005;1;83;921;649;2;0;0;0;0;0;0;
;20 - 24 anos;H;2021;1634;25;163;5;23;135;920;23;503;10;0;408;85;0;
;;M;2021;1591;17;120;4;17;99;833;23;598;6;0;483;108;1;
;25 - 29 anos;H;2021;1565;29;224;14;29;181;569;48;695;17;0;399;277;2;
;;M;2021;1406;45;128;3;15;110;388;29;816;3;0;472;334;7;
;30 - 34 anos;H;2021;1416;47;243;21;34;188;453;51;622;10;13;332;260;7;
;;M;2021;1501;73;165;6;29;130;415;33;815;5;19;469;309;13;
;35 - 39 anos;H;2021;1647;48;304;17;51;236;503;60;732;15;86;391;223;17;
;;M;2021;1861;86;198;15;33;150;471;37;1069;6;104;628;303;28;
;40 - 44 anos;H;2021;1969;53;386;33;70;283;560;52;918;4;104;565;209;36;
;;M;2021;2461;88;261;34;62;165;621;47;1444;4;115;986;301;38;
;45 - 49 anos;H;2021;2207;58;395;47;109;239;623;59;1072;0;133;690;217;32;
;;M;2021;2719;111;390;64;97;229;692;48;1478;0;166;994;270;48;
;50 - 54 anos;H;2021;2128;59;508;86;160;262;590;48;923;0;123;558;200;42;
;;M;2021;2457;93;445;80;127;238;656;46;1217;0;170;773;220;54;
;55 - 59 anos;H;2021;2005;82;493;117;131;245;606;8;816;0;120;465;172;59;
;;M;2021;2609;137;580;167;141;272;759;13;1120;0;212;683;184;41;
;60 - 64 anos;H;2021;1886;102;499;180;125;194;485;0;800;0;104;438;201;57;
;;M;2021;2353;146;671;227;131;313;609;0;927;0;149;585;147;46;
;65 - 69 anos;H;2021;1810;121;560;307;71;182;386;0;743;0;94;454;123;72;
;;M;2021;2434;173;862;405;124;333;613;0;786;0;190;457;86;53;
;70 - 74 anos;H;2021;1858;124;784;366;89;329;286;0;664;0;105;396;103;60;
;;M;2021;2400;154;1288;602;125;561;375;0;583;0;159;332;56;36;
;75 ou mais anos;H;2021;3166;231;1687;902;170;615;366;0;882;0;127;574;93;88;
;;M;2021;4952;629;2907;1673;307;927;657;0;759;0;220;461;52;26;
1106: Lisboa;Total;H;2021;254179;30553;83641;29972;19800;33869;50484;2561;86940;486;5182;52043;24258;4971;
;;M;2021;291617;35060;96851;43681;18579;34591;49472;1688;108546;181;7319;66879;29359;4808;
;Menos de 15 anos;H;2021;36718;23436;13282;5536;6925;821;0;0;0;0;0;0;0;0;
;;M;2021;34502;22042;12460;5151;6407;902;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;12832;122;8546;154;1262;7130;4142;7;15;15;0;0;0;0;
;;M;2021;12552;88;7848;125;997;6726;4603;4;9;9;0;0;0;0;
;20 - 24 anos;H;2021;14962;288;2687;125;582;1980;7663;199;4125;119;0;3186;819;1;
;;M;2021;14723;224;1803;142;343;1318;7022;144;5530;49;0;4306;1170;5;
;25 - 29 anos;H;2021;18603;548;2736;228;537;1971;5286;420;9613;127;0;4765;4654;67;
;;M;2021;18693;434;1943;160;405;1378;3849;251;12216;51;0;5711;6388;66;
;30 - 34 anos;H;2021;19303;642;3003;335;640;2028;4610;459;10589;114;136;4830;5227;282;
;;M;2021;18844;519;2174;222;457;1495;3287;288;12576;32;93;5420;6704;327;
;35 - 39 anos;H;2021;18714;559;3455;474;809;2172;4236;414;10050;91;574;5165;3740;480;
;;M;2021;18571;486;2495;309;545;1641;3299;267;12024;30;483;6715;4258;538;
;40 - 44 anos;H;2021;19459;515;3877;580;976;2321;4420;403;10244;20;616;6524;2525;559;
;;M;2021;20394;513;2856;459;645;1752;3637;247;13141;9;503;8922;2945;762;
;45 - 49 anos;H;2021;18870;478;4247;793;1235;2219;4095;366;9684;0;643;6392;2079;570;
;;M;2021;20450;498;3526;809;937;1780;3766;257;12403;1;674;8592;2467;669;
;50 - 54 anos;H;2021;16388;496;4865;1267;1448;2150;3511;237;7279;0;622;4513;1555;589;
;;M;2021;18682;571;4548;1355;1332;1861;3771;200;9592;0;845;6446;1708;593;
;55 - 59 anos;H;2021;15431;514;5315;1872;1420;2023;3469;56;6077;0;561;3632;1248;636;
;;M;2021;18097;658;5631;2294;1348;1989;3872;30;7906;0;789;5271;1334;512;
;60 - 64 anos;H;2021;13696;570;5244;2467;1120;1657;2861;0;5021;0;464;3131;929;497;
;;M;2021;17544;780;6430;3170;1156;2104;3667;0;6667;0;789;4360;1052;466;
;65 - 69 anos;H;2021;12797;554;5651;3471;785;1395;2146;0;4446;0;440;2959;626;421;
;;M;2021;16786;946;7521;4564;862;2095;2862;0;5457;0;749;3774;605;329;
;70 - 74 anos;H;2021;12168;541;6191;3576;689;1926;1481;0;3955;0;400;2787;405;363;
;;M;2021;17142;970;9609;5686;906;3017;2121;0;4442;0;753;3048;380;261;
;75 ou mais anos;H;2021;24238;1290;14542;9094;1372;4076;2564;0;5842;0;726;4159;451;506;
;;M;2021;44637;6331;28007;19235;2239;6533;3716;0;6583;0;1641;4314;348;280;
110601: Ajuda;Total;H;2021;6566;790;2931;1118;648;1165;1323;73;1449;20;96;850;419;64;
;;M;2021;7740;1015;3383;1675;619;1089;1392;53;1897;4;122;1167;535;69;
;Menos de 15 anos;H;2021;939;594;345;152;171;22;0;0;0;0;0;0;0;0;
;;M;2021;857;548;309;120;165;24;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;304;5;217;3;35;179;82;0;0;0;0;0;0;0;
;;M;2021;293;6;183;2;25;156;104;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;344;5;92;3;27;62;170;6;71;9;0;47;15;0;
;;M;2021;327;2;73;4;20;49;153;5;94;2;0;79;13;0;
;25 - 29 anos;H;2021;394;10;86;4;25;57;121;12;165;5;0;81;79;0;
;;M;2021;459;9;77;6;14;57;130;8;235;0;0;112;123;0;
;30 - 34 anos;H;2021;454;6;71;10;14;47;130;17;230;4;5;112;103;6;
;;M;2021;512;12;92;7;23;62;107;13;288;1;6;130;145;6;
;35 - 39 anos;H;2021;467;11;125;13;28;84;112;8;211;2;13;106;78;12;
;;M;2021;439;10;95;15;23;57;94;14;226;0;12;126;77;11;
;40 - 44 anos;H;2021;498;13;144;19;29;96;127;13;201;0;13;115;59;14;
;;M;2021;548;16;101;26;12;63;154;7;270;1;11;185;57;16;
;45 - 49 anos;H;2021;481;26;164;31;41;92;127;6;158;0;13;107;35;3;
;;M;2021;520;14;144;31;39;74;109;2;251;0;11;189;41;10;
;50 - 54 anos;H;2021;405;12;179;39;59;81;107;9;98;0;10;71;11;6;
;;M;2021;436;15;165;52;49;64;105;3;148;0;15;92;30;11;
;55 - 59 anos;H;2021;375;22;188;72;40;76;88;2;75;0;7;46;13;9;
;;M;2021;480;17;194;69;47;78;139;1;129;0;17;86;19;7;
;60 - 64 anos;H;2021;405;19;215;81;48;86;87;0;84;0;12;55;12;5;
;;M;2021;450;33;223;101;46;76;103;0;91;0;10;62;14;5;
;65 - 69 anos;H;2021;313;10;213;126;28;59;45;0;45;0;3;35;3;4;
;;M;2021;435;38;264;162;34;68;76;0;57;0;9;41;5;2;
;70 - 74 anos;H;2021;350;15;243;153;25;65;47;0;45;0;7;32;4;2;
;;M;2021;506;31;382;255;41;86;49;0;44;0;6;33;4;1;
;75 ou mais anos;H;2021;837;42;649;412;78;159;80;0;66;0;13;43;7;3;
;;M;2021;1478;264;1081;825;81;175;69;0;64;0;25;32;7;0;
110602: Alcântara;Total;H;2021;6269;732;2205;777;479;949;1282;64;1986;19;128;1183;554;102;
;;M;2021;7581;884;2694;1248;501;945;1340;56;2607;10;186;1575;729;107;
;Menos de 15 anos;H;2021;885;563;322;128;169;25;0;0;0;0;0;0;0;0;
;;M;2021;889;559;330;129;176;25;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;274;0;179;3;24;152;95;0;0;0;0;0;0;0;
;;M;2021;310;1;192;0;23;169;116;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;330;4;71;4;3;64;179;6;70;5;0;56;9;0;
;;M;2021;321;12;31;1;3;27;166;4;108;2;0;88;18;0;
;25 - 29 anos;H;2021;461;15;71;4;1;66;132;10;233;6;0;112;115;0;
;;M;2021;503;10;43;5;9;29;108;8;334;5;0;153;174;2;
;30 - 34 anos;H;2021;512;12;65;6;11;48;124;7;304;2;4;150;140;8;
;;M;2021;605;11;63;5;12;46;113;9;409;0;3;185;209;12;
;35 - 39 anos;H;2021;529;10;95;6;26;63;117;14;293;5;17;160;96;15;
;;M;2021;549;11;65;6;14;45;106;9;358;0;22;220;103;13;
;40 - 44 anos;H;2021;497;14;109;18;19;72;124;12;238;1;18;149;58;12;
;;M;2021;527;12;69;11;12;46;105;8;333;2;24;211;80;16;
;45 - 49 anos;H;2021;482;11;117;17;35;65;116;9;229;0;12;159;50;8;
;;M;2021;554;15;94;15;24;55;127;12;306;0;13;220;59;14;
;50 - 54 anos;H;2021;394;21;148;34;40;74;77;4;144;0;17;91;27;9;
;;M;2021;423;12;123;27;29;67;95;6;187;0;18;131;24;14;
;55 - 59 anos;H;2021;360;7;127;40;30;57;92;2;132;0;14;76;28;14;
;;M;2021;400;14;130;55;28;47;104;0;152;0;25;93;27;7;
;60 - 64 anos;H;2021;298;11;128;49;33;46;66;0;93;0;9;61;13;10;
;;M;2021;406;13;181;71;41;69;97;0;115;0;17;73;18;7;
;65 - 69 anos;H;2021;274;16;123;70;16;37;56;0;79;0;14;49;10;6;
;;M;2021;415;21;210;127;26;57;74;0;110;0;26;73;3;8;
;70 - 74 anos;H;2021;316;17;186;106;21;59;44;0;69;0;10;45;5;9;
;;M;2021;445;23;294;178;36;80;48;0;80;0;15;50;8;7;
;75 ou mais anos;H;2021;657;31;464;292;51;121;60;0;102;0;13;75;3;11;
;;M;2021;1234;170;869;618;68;183;81;0;114;0;23;78;6;7;
110654: Alvalade;Total;H;2021;14956;1829;3695;1210;935;1550;2790;150;6492;22;370;3764;1920;416;
;;M;2021;18353;2032;4827;1962;929;1936;2883;76;8535;13;580;5140;2393;409;
;Menos de 15 anos;H;2021;2371;1580;791;322;426;43;0;0;0;0;0;0;0;0;
;;M;2021;2268;1480;788;320;419;49;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;785;8;518;9;81;428;258;0;1;1;0;0;0;0;
;;M;2021;765;5;458;9;56;393;302;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;866;5;98;5;19;74;440;17;306;6;0;227;73;0;
;;M;2021;913;4;42;2;9;31;409;5;453;5;0;341;107;0;
;25 - 29 anos;H;2021;1012;10;57;6;6;45;256;22;667;3;0;282;380;2;
;;M;2021;1117;14;50;4;7;39;145;12;896;2;0;360;530;4;
;30 - 34 anos;H;2021;1094;22;66;8;14;44;221;20;765;6;1;273;461;24;
;;M;2021;1107;17;61;9;6;46;125;8;896;1;3;312;554;26;
;35 - 39 anos;H;2021;1068;10;95;9;24;62;192;20;751;5;27;402;279;38;
;;M;2021;1128;26;70;10;14;46;124;7;901;4;22;518;320;37;
;40 - 44 anos;H;2021;1140;13;118;12;40;66;212;22;775;1;31;502;193;48;
;;M;2021;1287;18;82;12;12;58;138;13;1036;0;25;703;240;68;
;45 - 49 anos;H;2021;1032;15;141;23;35;83;177;24;675;0;45;421;150;59;
;;M;2021;1220;18;92;22;22;48;198;15;897;1;50;607;189;50;
;50 - 54 anos;H;2021;949;20;185;39;53;93;175;20;549;0;42;345;113;49;
;;M;2021;1067;23;142;37;41;64;183;14;705;0;61;470;133;41;
;55 - 59 anos;H;2021;905;16;215;62;56;97;234;5;435;0;42;256;80;57;
;;M;2021;1101;33;199;66;49;84;250;2;617;0;75;391;102;49;
;60 - 64 anos;H;2021;797;19;203;85;43;75;192;0;383;0;37;241;74;31;
;;M;2021;1080;28;259;98;50;111;236;0;557;0;57;361;88;51;
;65 - 69 anos;H;2021;774;22;231;132;32;67;168;0;353;0;47;224;48;34;
;;M;2021;1029;31;323;157;37;129;202;0;473;0;59;323;65;26;
;70 - 74 anos;H;2021;678;24;262;124;29;109;102;0;290;0;29;201;31;29;
;;M;2021;1063;33;462;219;43;200;175;0;393;0;70;263;33;27;
;75 ou mais anos;H;2021;1485;65;715;374;77;264;163;0;542;0;69;390;38;45;
;;M;2021;3208;302;1799;997;164;638;396;0;711;0;158;491;32;30;
110655: Areeiro;Total;H;2021;9653;1113;2314;722;575;1017;1888;87;4251;10;233;2551;1148;309;
;;M;2021;11507;1202;3027;1261;582;1184;1890;50;5338;6;351;3288;1421;272;
;Menos de 15 anos;H;2021;1411;921;490;191;280;19;0;0;0;0;0;0;0;0;
;;M;2021;1368;870;498;187;278;33;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;508;5;338;4;45;289;165;0;0;0;0;0;0;0;
;;M;2021;517;1;319;3;27;289;197;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;594;16;56;2;8;46;309;5;208;4;0;160;44;0;
;;M;2021;598;5;38;6;6;26;288;3;264;2;0;189;73;0;
;25 - 29 anos;H;2021;738;22;55;8;5;42;178;14;469;3;0;214;248;4;
;;M;2021;693;13;40;2;7;31;115;9;516;0;0;227;284;5;
;30 - 34 anos;H;2021;707;18;64;5;14;45;169;12;444;2;3;188;240;11;
;;M;2021;721;20;50;6;9;35;104;9;538;1;3;222;303;9;
;35 - 39 anos;H;2021;673;17;73;14;9;50;130;16;437;1;12;225;169;30;
;;M;2021;687;13;47;7;12;28;101;9;517;2;19;256;211;29;
;40 - 44 anos;H;2021;706;7;86;9;20;57;130;13;470;0;23;296;111;40;
;;M;2021;785;9;59;13;9;37;101;7;609;1;20;419;133;36;
;45 - 49 anos;H;2021;743;8;96;17;28;51;140;12;487;0;32;321;92;42;
;;M;2021;794;8;79;24;13;42;102;5;600;0;16;430;105;49;
;50 - 54 anos;H;2021;605;15;111;21;31;59;132;14;333;0;31;203;66;33;
;;M;2021;706;14;117;41;33;43;112;5;458;0;35;300;95;28;
;55 - 59 anos;H;2021;565;11;107;33;27;47;135;1;311;0;38;178;60;35;
;;M;2021;746;23;116;56;19;41;168;3;436;0;40;278;90;28;
;60 - 64 anos;H;2021;499;12;114;40;20;54;115;0;258;0;13;176;36;33;
;;M;2021;734;26;166;71;30;65;149;0;393;0;52;259;55;27;
;65 - 69 anos;H;2021;518;22;140;64;27;49;104;0;252;0;23;166;35;28;
;;M;2021;667;31;196;107;19;70;120;0;320;0;38;230;29;23;
;70 - 74 anos;H;2021;487;15;184;87;20;77;66;0;222;0;20;161;17;24;
;;M;2021;685;19;278;129;31;118;104;0;284;0;39;203;23;19;
;75 ou mais anos;H;2021;899;24;400;227;41;132;115;0;360;0;38;263;30;29;
;;M;2021;1806;150;1024;609;89;326;229;0;403;0;89;275;20;19;
110656: Arroios;Total;H;2021;16372;1913;4314;1426;918;1970;3784;192;6169;31;397;3511;1864;366;
;;M;2021;16930;2032;4564;2024;784;1756;3118;130;7086;14;424;4118;2183;347;
;Menos de 15 anos;H;2021;1735;1177;558;232;292;34;0;0;0;0;0;0;0;0;
;;M;2021;1721;1213;508;226;247;35;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;550;6;337;7;37;293;206;0;1;1;0;0;0;0;
;;M;2021;550;8;320;1;29;290;222;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;1073;53;163;10;29;124;539;12;306;7;0;244;55;0;
;;M;2021;962;40;75;5;5;65;452;8;387;1;0;313;72;1;
;25 - 29 anos;H;2021;1898;101;197;11;24;162;547;37;1016;8;0;548;455;5;
;;M;2021;1650;69;95;6;14;75;331;18;1137;10;0;530;585;12;
;30 - 34 anos;H;2021;1853;111;228;24;36;168;476;40;998;14;20;471;463;30;
;;M;2021;1577;66;106;10;16;80;272;20;1113;1;17;477;585;33;
;35 - 39 anos;H;2021;1652;108;225;29;28;168;417;24;878;1;79;419;326;53;
;;M;2021;1350;67;108;7;12;89;217;24;934;2;53;483;341;55;
;40 - 44 anos;H;2021;1433;77;243;38;40;165;381;31;701;0;66;431;151;53;
;;M;2021;1212;46;120;20;24;76;226;21;799;0;35;527;160;77;
;45 - 49 anos;H;2021;1198;44;220;39;53;128;292;30;612;0;51;395;119;47;
;;M;2021;1112;34;159;27;47;85;227;20;672;0;53;454;128;37;
;50 - 54 anos;H;2021;946;45;270;57;71;142;212;13;406;0;45;232;92;37;
;;M;2021;940;36;172;33;45;94;225;17;490;0;41;314;100;35;
;55 - 59 anos;H;2021;818;36;252;63;75;114;201;5;324;0;33;171;71;49;
;;M;2021;853;40;204;51;57;96;197;2;410;0;39;275;75;21;
;60 - 64 anos;H;2021;674;33;226;92;63;71;160;0;255;0;24;152;57;22;
;;M;2021;870;34;243;93;52;98;219;0;374;0;35;245;67;27;
;65 - 69 anos;H;2021;665;36;287;160;49;78;118;0;224;0;21;142;31;30;
;;M;2021;799;35;326;177;40;109;162;0;276;0;39;188;31;18;
;70 - 74 anos;H;2021;643;33;312;177;39;96;90;0;208;0;22;147;20;19;
;;M;2021;913;43;548;306;63;179;123;0;199;0;36;128;19;16;
;75 ou mais anos;H;2021;1234;53;796;487;82;227;145;0;240;0;36;159;24;21;
;;M;2021;2421;301;1580;1062;133;385;245;0;295;0;76;184;20;15;
110657: Avenidas Novas;Total;H;2021;10645;1267;2186;672;548;966;1897;73;5222;18;247;2979;1641;337;
;;M;2021;12616;1328;2991;1203;582;1206;1898;57;6342;6;419;3753;1842;322;
;Menos de 15 anos;H;2021;1568;1072;496;192;276;28;0;0;0;0;0;0;0;0;
;;M;2021;1479;949;530;222;266;42;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;537;5;322;2;38;282;210;0;0;0;0;0;0;0;
;;M;2021;535;3;318;2;29;287;213;1;0;0;0;0;0;0;
;20 - 24 anos;H;2021;665;3;53;0;13;40;337;8;264;2;0;204;58;0;
;;M;2021;743;5;54;2;9;43;299;5;380;4;0;273;102;1;
;25 - 29 anos;H;2021;838;9;56;5;8;43;193;11;569;7;0;252;305;5;
;;M;2021;874;11;31;4;5;22;108;8;716;0;0;290;421;5;
;30 - 34 anos;H;2021;796;11;62;3;10;49;131;12;580;4;7;213;340;16;
;;M;2021;801;14;25;3;3;19;84;8;670;2;4;250;401;13;
;35 - 39 anos;H;2021;751;13;53;8;11;34;138;12;535;3;31;256;227;18;
;;M;2021;814;8;42;5;8;29;97;13;654;0;21;343;257;33;
;40 - 44 anos;H;2021;773;15;62;10;10;42;121;10;565;2;25;337;170;31;
;;M;2021;831;14;44;5;10;29;92;10;671;0;22;443;158;48;
;45 - 49 anos;H;2021;764;15;90;13;30;47;126;8;525;0;30;322;139;34;
;;M;2021;808;21;66;15;20;31;105;5;611;0;23;418;129;41;
;50 - 54 anos;H;2021;675;12;87;18;25;44;108;10;458;0;22;272;124;40;
;;M;2021;820;24;91;26;19;46;139;7;559;0;53;364;99;43;
;55 - 59 anos;H;2021;676;16;105;29;22;54;152;2;401;0;23;246;92;40;
;;M;2021;745;22;123;47;35;41;121;0;479;0;55;299;88;37;
;60 - 64 anos;H;2021;560;21;95;29;28;38;111;0;333;0;32;188;68;45;
;;M;2021;750;24;135;54;25;56;152;0;439;0;48;283;79;29;
;65 - 69 anos;H;2021;527;21;111;53;23;35;101;0;294;0;31;193;43;27;
;;M;2021;689;29;167;82;21;64;125;0;368;0;44;239;60;25;
;70 - 74 anos;H;2021;517;18;168;73;17;78;58;0;273;0;18;195;34;26;
;;M;2021;680;37;270;119;23;128;88;0;285;0;45;200;21;19;
;75 ou mais anos;H;2021;998;36;426;237;37;152;111;0;425;0;28;301;41;55;
;;M;2021;2047;167;1095;617;109;369;275;0;510;0;104;351;27;28;
110607: Beato;Total;H;2021;5786;708;2570;1008;561;1001;1278;44;1186;9;106;733;291;47;
;;M;2021;6397;849;2789;1307;506;976;1215;60;1484;1;104;955;374;50;
;Menos de 15 anos;H;2021;695;434;261;111;124;26;0;0;0;0;0;0;0;0;
;;M;2021;656;420;236;107;106;23;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;280;3;202;6;38;158;75;0;0;0;0;0;0;0;
;;M;2021;236;0;157;4;20;133;79;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;342;13;85;6;20;59;189;5;50;1;0;40;9;0;
;;M;2021;290;9;60;4;7;49;149;4;68;0;0;56;12;0;
;25 - 29 anos;H;2021;445;35;98;9;20;69;145;10;157;4;0;89;64;0;
;;M;2021;439;12;73;6;19;48;133;9;212;0;0;129;83;0;
;30 - 34 anos;H;2021;462;28;108;12;16;80;127;12;187;1;2;102;77;5;
;;M;2021;429;23;104;6;25;73;93;9;200;1;1;95;99;4;
;35 - 39 anos;H;2021;390;18;120;23;31;66;118;4;130;3;17;59;44;7;
;;M;2021;397;19;93;6;26;61;92;10;183;0;6;110;57;10;
;40 - 44 anos;H;2021;452;17;152;28;42;82;146;4;133;0;14;95;21;3;
;;M;2021;398;15;109;16;23;70;113;12;149;0;5;107;34;3;
;45 - 49 anos;H;2021;438;16;163;39;53;71;116;7;136;0;13;88;30;5;
;;M;2021;457;18;118;30;40;48;125;11;185;0;7;139;32;7;
;50 - 54 anos;H;2021;344;13;157;50;38;69;88;2;84;0;16;52;14;2;
;;M;2021;407;17;165;52;47;66;98;4;123;0;14;86;17;6;
;55 - 59 anos;H;2021;382;30;202;67;59;76;78;0;72;0;8;50;11;3;
;;M;2021;392;15;189;81;52;56;87;1;100;0;13;65;16;6;
;60 - 64 anos;H;2021;331;24;180;103;33;44;59;0;68;0;5;50;7;6;
;;M;2021;379;30;195;87;37;71;85;0;69;0;9;48;8;4;
;65 - 69 anos;H;2021;308;18;192;124;21;47;52;0;46;0;6;31;6;3;
;;M;2021;378;32;238;151;27;60;49;0;59;0;8;40;8;3;
;70 - 74 anos;H;2021;286;23;180;114;21;45;33;0;50;0;11;24;7;8;
;;M;2021;433;36;289;194;20;75;53;0;55;0;14;36;3;2;
;75 ou mais anos;H;2021;631;36;470;316;45;109;52;0;73;0;14;53;1;5;
;;M;2021;1106;203;763;563;57;143;59;0;81;0;27;44;5;5;
110658: Belém;Total;H;2021;7574;844;1912;616;429;867;1396;68;3354;13;163;2006;937;235;
;;M;2021;8972;999;2420;1012;486;922;1401;51;4101;1;319;2523;1039;219;
;Menos de 15 anos;H;2021;1231;762;469;184;246;39;0;0;0;0;0;0;0;0;
;;M;2021;1237;775;462;175;255;32;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;437;1;276;0;25;251;159;1;0;0;0;0;0;0;
;;M;2021;400;2;239;1;21;217;159;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;494;2;44;0;3;41;255;8;185;8;0;135;42;0;
;;M;2021;398;2;17;1;1;15;194;3;182;0;0;140;41;1;
;25 - 29 anos;H;2021;361;4;33;0;2;31;88;7;229;2;0;102;124;1;
;;M;2021;408;8;17;0;2;15;74;10;299;1;0;132;166;0;
;30 - 34 anos;H;2021;404;6;31;0;5;26;93;11;263;1;0;112;144;6;
;;M;2021;434;5;18;0;4;14;56;5;350;0;1;132;208;9;
;35 - 39 anos;H;2021;424;4;37;3;8;26;73;5;305;2;11;161;120;11;
;;M;2021;501;7;24;1;7;16;71;6;393;0;15;235;131;12;
;40 - 44 anos;H;2021;538;8;48;3;15;30;108;16;358;0;10;218;108;22;
;;M;2021;630;8;42;4;7;31;64;10;506;0;20;334;125;27;
;45 - 49 anos;H;2021;574;2;56;8;10;38;116;10;390;0;12;243;112;23;
;;M;2021;660;10;53;10;10;33;78;6;513;0;22;337;118;36;
;50 - 54 anos;H;2021;504;6;67;10;15;42;115;9;307;0;25;177;75;30;
;;M;2021;624;8;59;13;6;40;112;11;434;0;38;290;72;34;
;55 - 59 anos;H;2021;482;6;90;24;19;47;83;1;302;0;22;171;75;34;
;;M;2021;536;8;77;27;15;35;119;0;332;0;35;208;60;29;
;60 - 64 anos;H;2021;391;6;82;31;15;36;85;0;218;0;18;138;41;21;
;;M;2021;487;10;87;38;15;34;126;0;264;0;41;160;42;21;
;65 - 69 anos;H;2021;381;5;97;44;10;43;71;0;208;0;12;140;30;26;
;;M;2021;554;13;181;87;27;67;107;0;253;0;31;174;29;19;
;70 - 74 anos;H;2021;415;8;150;78;15;57;45;0;212;0;14;146;32;20;
;;M;2021;551;17;244;118;30;96;78;0;212;0;35;131;28;18;
;75 ou mais anos;H;2021;938;24;432;231;41;160;105;0;377;0;39;263;34;41;
;;M;2021;1552;126;900;537;86;277;163;0;363;0;81;250;19;13;
