
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;;M;2021;4880;114;523;17;82;424;1479;124;2640;18;0;1538;1065;19;
;30 - 34 anos;H;2021;4947;131;978;64;182;732;1679;230;1929;44;29;1079;740;37;
;;M;2021;5326;167;701;35;115;551;1492;123;2843;19;34;1613;1124;53;
;35 - 39 anos;H;2021;5811;124;1314;71;268;975;1809;245;2319;51;206;1330;673;59;
;;M;2021;6663;221;907;50;153;704;1735;161;3639;18;234;2307;979;101;
;40 - 44 anos;H;2021;7397;160;1687;124;339;1224;2316;217;3017;15;275;2047;575;105;
;;M;2021;8938;234;1200;128;249;823;2379;212;4913;6;309;3613;848;137;
;45 - 49 anos;H;2021;8274;169;2064;250;569;1245;2463;232;3346;0;381;2301;554;110;
;;M;2021;9663;289;1712;264;435;1013;2651;197;4814;0;461;3512;720;121;
;50 - 54 anos;H;2021;7271;164;2367;416;759;1192;2109;175;2456;0;327;1531;487;111;
;;M;2021;8444;249;2129;429;626;1074;2434;149;3483;0;473;2346;541;123;
;55 - 59 anos;H;2021;6708;204;2400;610;687;1103;1938;33;2133;0;313;1258;420;142;
;;M;2021;8149;330;2543;744;655;1144;2340;30;2906;0;463;1859;451;133;
;60 - 64 anos;H;2021;5951;266;2317;902;553;862;1520;0;1848;0;259;1097;356;136;
;;M;2021;7409;365;2879;1134;626;1119;1906;0;2259;0;336;1508;304;111;
;65 - 69 anos;H;2021;5533;282;2528;1462;374;692;1121;0;1602;0;230;993;254;125;
;;M;2021;7223;444;3526;1991;466;1069;1505;0;1748;0;394;1072;177;105;
;70 - 74 anos;H;2021;5347;304;3079;1718;342;1019;704;0;1260;0;232;783;155;90;
;;M;2021;6980;433;4417;2545;429;1443;869;0;1261;0;328;756;112;65;
;75 ou mais anos;H;2021;9133;693;5688;3549;540;1599;961;0;1791;0;307;1179;161;144;
;;M;2021;14245;2114;9097;6206;748;2143;1396;0;1638;0;485;1014;95;44;
110501: Alcabideche;Total;H;2021;21051;2673;9401;3267;2205;3929;4956;312;3709;47;374;2387;787;114;
;;M;2021;23114;3080;9392;4088;1928;3376;5183;257;5202;21;496;3595;971;119;
;Menos de 15 anos;H;2021;3407;1987;1420;594;708;118;0;0;0;0;0;0;0;0;
;;M;2021;3280;1893;1387;546;729;112;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;1376;6;895;6;82;807;470;3;2;2;0;0;0;0;
;;M;2021;1275;9;749;3;68;678;515;0;2;2;0;0;0;0;
;20 - 24 anos;H;2021;1368;11;291;4;48;239;734;28;304;17;0;234;52;1;
;;M;2021;1216;7;163;4;19;140;611;23;412;3;0;340;69;0;
;25 - 29 anos;H;2021;1286;31;369;28;87;254;493;50;343;14;0;211;117;1;
;;M;2021;1058;23;141;4;26;111;399;32;463;4;0;297;158;4;
;30 - 34 anos;H;2021;1075;33;310;16;76;218;400;52;280;9;4;179;86;2;
;;M;2021;1045;32;195;8;26;161;346;26;446;4;4;274;160;4;
;35 - 39 anos;H;2021;1227;39;388;27;99;262;382;46;372;4;31;214;118;5;
;;M;2021;1392;62;239;15;44;180;436;44;611;7;31;398;163;12;
;40 - 44 anos;H;2021;1548;42;480;26;110;344;505;48;473;1;37;317;102;16;
;;M;2021;1812;51;343;32;78;233;547;50;821;1;54;631;116;19;
;45 - 49 anos;H;2021;1695;43;607;88;181;338;499;47;499;0;70;343;78;8;
;;M;2021;1912;73;470;70;121;279;573;47;749;0;78;558;104;9;
;50 - 54 anos;H;2021;1567;43;688;132;240;316;446;32;358;0;64;227;59;8;
;;M;2021;1798;62;635;154;180;301;515;32;554;0;98;370;72;14;
;55 - 59 anos;H;2021;1500;65;707;225;200;282;384;6;338;0;44;191;82;21;
;;M;2021;1665;70;725;239;185;301;450;3;417;0;67;264;62;24;
;60 - 64 anos;H;2021;1233;74;661;295;125;241;261;0;237;0;41;141;36;19;
;;M;2021;1486;83;775;334;171;270;346;0;282;0;41;191;35;15;
;65 - 69 anos;H;2021;1129;60;692;453;95;144;170;0;207;0;31;132;29;15;
;;M;2021;1325;91;842;549;117;176;205;0;187;0;44;115;16;12;
;70 - 74 anos;H;2021;993;73;698;465;67;166;92;0;130;0;27;81;17;5;
;;M;2021;1284;94;978;698;75;205;93;0;119;0;31;77;6;5;
;75 ou mais anos;H;2021;1647;166;1195;908;87;200;120;0;166;0;25;117;11;13;
;;M;2021;2566;530;1750;1432;89;229;147;0;139;0;48;80;10;1;
110506: São Domingos de Rana;Total;H;2021;27910;3603;11909;4061;2848;5000;6901;487;5010;86;442;3376;954;152;
;;M;2021;31328;4101;12193;5100;2586;4507;6990;342;7702;27;562;5523;1442;148;
;Menos de 15 anos;H;2021;4836;2942;1894;783;972;139;0;0;0;0;0;0;0;0;
;;M;2021;4593;2736;1857;694;988;175;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;1820;13;1185;5;127;1053;613;5;4;4;0;0;0;0;
;;M;2021;1673;6;1023;7;106;910;641;3;0;0;0;0;0;0;
;20 - 24 anos;H;2021;1644;19;293;8;33;252;950;51;331;30;0;241;60;0;
;;M;2021;1575;12;160;5;16;139;858;38;507;10;0;413;84;0;
;25 - 29 anos;H;2021;1335;21;231;8;32;191;572;66;445;10;0;286;144;5;
;;M;2021;1343;30;179;7;25;147;436;42;656;7;0;405;241;3;
;30 - 34 anos;H;2021;1447;33;302;20;54;228;529;82;501;18;3;291;176;13;
;;M;2021;1630;31;252;15;49;188;486;39;822;7;3;469;330;13;
;35 - 39 anos;H;2021;1716;20;473;19;105;349;557;84;582;18;35;368;144;17;
;;M;2021;2038;47;355;13;67;275;549;54;1033;2;41;725;239;26;
;40 - 44 anos;H;2021;2360;39;640;53;132;455;807;68;806;6;64;593;118;25;
;;M;2021;2786;63;459;47;85;327;792;71;1401;1;73;1121;177;29;
;45 - 49 anos;H;2021;2550;37;783;88;218;477;822;73;835;0;86;622;102;25;
;;M;2021;2874;60;662;100;168;394;881;61;1210;0;99;966;128;17;
;50 - 54 anos;H;2021;2016;38;864;159;280;425;617;46;451;0;57;296;80;18;
;;M;2021;2326;58;767;154;230;383;742;31;728;0;99;521;91;17;
;55 - 59 anos;H;2021;1775;39;876;218;262;396;526;12;322;0;49;214;42;17;
;;M;2021;2102;80;917;271;255;391;602;3;500;0;67;347;69;17;
;60 - 64 anos;H;2021;1526;57;843;333;229;281;370;0;256;0;38;159;43;16;
;;M;2021;1924;95;1030;466;229;335;459;0;340;0;43;246;41;10;
;65 - 69 anos;H;2021;1482;66;955;578;144;233;255;0;206;0;41;128;29;8;
;;M;2021;1826;117;1214;786;142;286;266;0;229;0;50;151;20;8;
;70 - 74 anos;H;2021;1336;70;1003;667;118;218;136;0;127;0;33;84;7;3;
;;M;2021;1627;116;1243;862;111;270;138;0;130;0;29;80;16;5;
;75 ou mais anos;H;2021;2067;209;1567;1122;142;303;147;0;144;0;36;94;9;5;
;;M;2021;3011;650;2075;1673;115;287;140;0;146;0;58;79;6;3;
110507: União das freguesias de Carcavelos e Parede;Total;H;2021;21189;2265;6144;1722;1405;3017;5275;326;7179;47;734;4558;1507;333;
;;M;2021;25340;2516;7475;2825;1510;3140;5484;227;9638;18;955;6322;1988;355;
;Menos de 15 anos;H;2021;3203;1908;1295;519;679;97;0;0;0;0;0;0;0;0;
;;M;2021;2990;1787;1203;483;649;71;0;0;0;0;0;0;0;0;
